No,Activated,Brand,Ti,Al,Zr,Mo,V,Ta,Nb,Cr,Fe,Sn,Sys,FirstAppearinLine,CompNum,Produce_Lab,Produce_Factory,InitStat,Deform,DeformTemp_C,DeformRate,HT1,HT1Temp_C,HT1Time_h,Cool1,HT2,HT2Temp_C,HT2Time_h,Cool2,YM,HV,UTS,YS,El,均匀延伸率 (%),断面收缩率(%),断裂韧性KIC（MPa.m12）,应力腐蚀断裂韧性KISCC（MPa·m12）,夏比冲击吸收功KU2（J）,夏比冲击韧性值aku2（Jcm2）,夏比冲击吸收功KV2（J）,夏比冲击韧性值akV2（Jcm2）,（其他）,reference_id (文献数据标记doi；实验数据标记人员姓名),文献名称,文献序号,汇总信息人员姓名,序号,核对人员姓名,备注
55,1,,99.837,0,0,0,0,0,0,0,0,0,Ti,3,1,0,0,0,0,0,0,1,800,1,0,0,0,0,0,,,500,,,,,,,,,62.65,,,,Effects of oxygen content on Charpy impact properties and crack resistance of α titanium alloys,10,常海峰,55,,
56,1,,99.973,0,0,0,0,0,0,0,0,0,Ti,3,1,0,0,0,0,0,0,1,800,1,0,0,0,0,0,,,257,,,,,,,,,253.5,,,,Effects of oxygen content on Charpy impact properties and crack resistance of α titanium alloys,10,常海峰,56,,
81,1,,99.971,0,0,0,0,0,0,0,0,0,Ti,3,1,0,1,3,1,1150,70,1,800,1,2,0,0,0,0,,,260,,71.5,,,,,,,2550,,,,Strengthening effects of Al element on strength and impact toughness in titanium alloy,18,常海峰,Strengthening effects of Al element on strength and impact toughness in titanium alloy,张闫,
41,1,,60.72,0,0,0,0,0,39.28,0,0,0,Ti-Nb,6,2,0,1,1,0,0,0,1,850,1,1,0,0,0,0,,,581.4,,22.32,,,,,,,,,,10.1016j.jallcom.2009.07.006,"Influence of Zr content on phase transformation, microstructure and mechanical properties of Ti75−xNb25Zrx (x = 0–6) alloys",4,刘雨佳,41,,
91,1,,59.45,0,0,0,0,0,40.55,0,0,0,Ti-Nb,6,2,1,0,2,1,20,99,1,900,0.5,1,0,0,0,0,,,352,,9.08,,,,,,,,,,10.1016j.actamat.2006.01.019,"Martensitic transformation, shape memory effect and superelasticity of Ti–Nb binary alloys",13,刘雨佳,91,,
92,1,,59.45,0,0,0,0,0,40.55,0,0,0,Ti-Nb,6,2,1,0,2,1,20,99,1,900,0.5,1,1,200,1,1,,,392,,8.07,,,,,,,,,,10.1016j.actamat.2006.01.019,"Martensitic transformation, shape memory effect and superelasticity of Ti–Nb binary alloys",13,刘雨佳,92,,
93,1,,59.45,0,0,0,0,0,40.55,0,0,0,Ti-Nb,6,2,1,0,2,1,20,99,1,900,0.5,1,1,300,1,1,,,506,,9.58,,,,,,,,,,10.1016j.actamat.2006.01.019,"Martensitic transformation, shape memory effect and superelasticity of Ti–Nb binary alloys",13,刘雨佳,93,,
94,1,,59.45,0,0,0,0,0,40.55,0,0,0,Ti-Nb,6,2,1,0,2,1,20,99,1,900,0.5,1,1,400,1,1,,,435,,8.95,,,,,,,,,,10.1016j.actamat.2006.01.019,"Martensitic transformation, shape memory effect and superelasticity of Ti–Nb binary alloys",13,刘雨佳,94,,
95,1,,59.45,0,0,0,0,0,40.55,0,0,0,Ti-Nb,6,2,1,0,2,1,20,99,1,900,0.5,1,1,600,1,1,,,370,,10.02,,,,,,,,,,10.1016j.actamat.2006.01.019,"Martensitic transformation, shape memory effect and superelasticity of Ti–Nb binary alloys",13,刘雨佳,95,,
142,1,,62,0,0,0,0,0,38,0,0,0,Ti-Nb,6,2,1,0,2,1,20,85,1,800,1,1,0,0,0,0,,,411,,36.7,,,,,,,,,,10.1007s11665-022-06586-x,"Microstructure, Mechanical Properties, and Cytotoxicity of β-Type Ti-Nb-Cr Alloys Designed by Electron Paramete",25,刘雨佳,142,,
