rank,reward,train_step,Ti,Al,V,Cr,Mn,Fe,Cu,Zr,Nb,Mo,Sn,Hf,Ta,W,Si,C,N,O,Sc,Is_Not_Wrought,Is_Wrought,Def_Temp,Def_Strain,HT1,HT1_Temp,HT1_Time,HT1_Quench,HT1_Air,HT1_Furnace,HT2,HT2_Temp,HT2_Time,HT2_Quench,HT2_Air,Mo_eq,Al_eq,beta_transform_T,YM,YS,UTS,El,HV
1,1.752712,2224,87.0,7.5,2.6,0.6,0.0,0.3,0.0,1.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1075.0,99.0,1,825.0,5.0,0,0,1,1,425.0,9.0,1,0,-3.73,7.8,840.87,119.5,1035.1,1061.7,26.5,918.6
2,1.625226,862,82.7,4.7,8.4,3.3,0.0,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1,775.0,15.0,1,0,0,1,0.0,7.0,1,0,7.37,4.78,743.21,191.9,1107.2,1238.6,8.3,488.2
3,1.620094,1444,81.5,4.8,9.3,1.5,0.0,2.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1,900.0,0.33,0,0,1,0,0.0,0.0,0,0,10.5,4.9,724.63,200.4,1184.5,1231.2,3.3,577.1
4,1.582953,2282,79.1,6.1,0.7,1.7,0.0,7.2,0.0,2.9,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1,775.0,20.0,0,1,0,1,275.0,5.0,1,0,18.61,6.58,735.09,79.0,1530.6,1556.6,9.6,670.6
5,1.580744,288,64.4,2.6,0.7,1.1,0.0,5.1,0.0,25.6,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1,800.0,15.0,0,1,0,0,0.0,0.0,0,0,14.82,6.9,607.33,119.9,1537.3,1603.8,4.3,440.1
6,1.548261,2004,90.8,5.1,3.4,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1100.0,40.0,1,1025.0,12.0,0,1,0,1,425.0,30.0,1,0,-1.31,5.1,843.13,155.1,1016.1,1064.0,9.3,498.4
7,1.520294,1854,70.7,5.5,9.5,0.6,0.0,1.6,0.0,0.8,9.8,0.6,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1,900.0,12.0,1,0,0,1,350.0,15.0,1,0,9.88,5.83,740.85,147.2,1030.6,1325.4,9.9,487.5
8,1.478181,133,80.8,4.3,3.2,2.2,0.0,7.6,0.0,0.8,0.3,0.3,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1,500.0,0.25,0,0,1,0,0.0,0.0,0,0,23.81,4.57,702.92,113.7,1570.9,1629.4,8.1,662.4
9,1.469281,2055,94.9,0.3,3.2,0.0,0.0,0.2,0.0,0.0,1.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,950.0,80.0,1,425.0,0.58,1,0,0,1,850.0,4.0,1,0,2.93,0.33,840.31,128.7,535.7,650.2,36.6,622.6
10,1.462786,1953,90.5,4.4,3.1,0.3,0.0,0.9,0.0,0.2,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1,725.0,0.167,1,0,0,1,750.0,1.5,1,0,0.93,4.43,835.79,133.1,929.2,1080.5,15.9,532.3
