rank,reward,train_step,Ti,Al,V,Cr,Mn,Fe,Cu,Zr,Nb,Mo,Sn,Hf,Ta,W,Si,C,N,O,Sc,Is_Wrought,Def_Temp,Def_Strain,HT1,HT1_Temp,HT1_Time,HT1_Quench,HT1_Air,HT1_Furnace,HT2,HT2_Temp,HT2_Time,HT2_Quench,HT2_Air,Mo_eq,Al_eq,beta_transform_T,YM,YS,UTS,El,HV,YM_objective_mode,YM_objective_lower,YM_objective_upper,YM_objective_scale,YM_weight,YS_objective_mode,YS_objective_lower,YS_objective_upper,YS_objective_scale,YS_weight,UTS_objective_mode,UTS_objective_lower,UTS_objective_upper,UTS_objective_scale,UTS_weight,El_objective_mode,El_objective_lower,El_objective_upper,El_objective_scale,El_weight,HV_objective_mode,HV_objective_lower,HV_objective_upper,HV_objective_scale,HV_weight
1,0.161515,10030,69.2,5.2,9.6,8.1,,2.9,,4.3,0.3,0.3,0.0,,0.1,,,,,,,0,0.0,0.0,1,1200.0,5.0,0,0,1,0,0.0,0.0,0,0,14.6,5.92,649.11,207.0,1491.6,1628.9,9.2,461.5,maximize_after,120.0,inf,70.0,0.2,at_least,1400.0,inf,813.0,0.133333,at_least,1600.0,inf,932.0,0.066667,ignore,0.0,inf,13.5,0.333333,ignore,0.0,inf,273.0,0.266667
2,0.145136,1212,70.0,9.2,7.8,8.6,,4.4,,0.0,0.0,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,1,525.0,0.167,0,0,1,1,425.0,30.0,1,0,9.79,9.2,705.22,194.6,1819.9,1912.1,30.3,443.8,maximize_after,120.0,inf,70.0,0.2,at_least,1400.0,inf,813.0,0.133333,at_least,1600.0,inf,932.0,0.066667,ignore,0.0,inf,13.5,0.333333,ignore,0.0,inf,273.0,0.266667
3,0.136698,3300,65.5,9.5,8.1,9.2,,1.6,,5.7,0.4,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,1,725.0,5.0,1,0,0,1,900.0,36.0,1,0,10.76,10.45,655.72,188.7,1635.0,1793.7,12.4,463.9,maximize_after,120.0,inf,70.0,0.2,at_least,1400.0,inf,813.0,0.133333,at_least,1600.0,inf,932.0,0.066667,ignore,0.0,inf,13.5,0.333333,ignore,0.0,inf,273.0,0.266667
4,0.129341,8994,65.9,4.8,4.3,4.2,,7.0,,7.7,4.9,0.5,0.4,,0.3,,,,,,,0,0.0,0.0,1,1125.0,15.0,0,0,1,0,0.0,0.0,0,0,6.74,6.22,734.32,183.6,1693.2,1706.3,9.2,294.9,maximize_after,120.0,inf,70.0,0.2,at_least,1400.0,inf,813.0,0.133333,at_least,1600.0,inf,932.0,0.066667,ignore,0.0,inf,13.5,0.333333,ignore,0.0,inf,273.0,0.266667
5,0.122261,7072,74.7,9.7,7.9,0.4,,7.2,,0.0,0.1,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,1,1075.0,15.0,0,1,0,0,0.0,0.0,0,0,-3.74,9.7,804.31,179.0,1774.6,1832.8,0.3,436.0,maximize_after,120.0,inf,70.0,0.2,at_least,1400.0,inf,813.0,0.133333,at_least,1600.0,inf,932.0,0.066667,ignore,0.0,inf,13.5,0.333333,ignore,0.0,inf,273.0,0.266667
6,0.11787,2254,74.3,10.0,1.3,3.0,,6.2,,0.6,3.8,0.6,0.1,,0.1,,,,,,,1,600.0,10.0,1,1125.0,0.25,0,0,1,0,0.0,0.0,0,0,-2.64,10.13,841.94,176.2,1788.0,1884.2,6.9,364.9,maximize_after,120.0,inf,70.0,0.2,at_least,1400.0,inf,813.0,0.133333,at_least,1600.0,inf,932.0,0.066667,ignore,0.0,inf,13.5,0.333333,ignore,0.0,inf,273.0,0.266667
7,0.109389,4781,85.9,1.5,0.0,2.6,,7.9,,0.4,0.4,0.7,0.4,,0.2,,,,,,,0,0.0,0.0,1,1250.0,0.017,1,0,0,1,225.0,30.0,0,1,3.52,1.7,845.96,171.0,1555.4,1796.1,2.1,400.9,maximize_after,120.0,inf,70.0,0.2,at_least,1400.0,inf,813.0,0.133333,at_least,1600.0,inf,932.0,0.066667,ignore,0.0,inf,13.5,0.333333,ignore,0.0,inf,273.0,0.266667
8,0.104951,7923,61.9,9.9,2.4,5.2,,6.1,,11.6,2.7,0.0,0.0,,0.2,,,,,,,0,0.0,0.0,1,1150.0,24.0,0,1,0,0,0.0,0.0,0,0,0.83,11.83,731.51,168.3,1936.0,1969.2,1.7,345.3,maximize_after,120.0,inf,70.0,0.2,at_least,1400.0,inf,813.0,0.133333,at_least,1600.0,inf,932.0,0.066667,ignore,0.0,inf,13.5,0.333333,ignore,0.0,inf,273.0,0.266667
9,0.101556,6268,60.8,5.7,1.7,7.4,,3.2,,20.8,0.2,0.2,0.0,,0.0,,,,,,,0,0.0,0.0,1,1250.0,0.5,0,1,0,0,0.0,0.0,0,0,7.54,9.17,638.95,166.3,1588.0,1723.6,0.9,407.6,maximize_after,120.0,inf,70.0,0.2,at_least,1400.0,inf,813.0,0.133333,at_least,1600.0,inf,932.0,0.066667,ignore,0.0,inf,13.5,0.333333,ignore,0.0,inf,273.0,0.266667
10,0.097469,1043,75.7,9.3,1.0,9.8,,3.0,,0.0,0.4,0.6,0.1,,0.1,,,,,,,1,1150.0,0.0,1,975.0,2.0,0,0,1,0,0.0,0.0,0,0,7.78,9.33,765.87,164.0,1750.0,1825.4,18.2,431.0,maximize_after,120.0,inf,70.0,0.2,at_least,1400.0,inf,813.0,0.133333,at_least,1600.0,inf,932.0,0.066667,ignore,0.0,inf,13.5,0.333333,ignore,0.0,inf,273.0,0.266667
