rank,reward,train_step,Ti,Al,V,Cr,Mn,Fe,Cu,Zr,Nb,Mo,Sn,Hf,Ta,W,Si,C,N,O,Sc,Is_Wrought,Def_Temp,Def_Strain,HT1,HT1_Temp,HT1_Time,HT1_Quench,HT1_Air,HT1_Furnace,HT2,HT2_Temp,HT2_Time,HT2_Quench,HT2_Air,Mo_eq,Al_eq,beta_transform_T,YM,YS,UTS,El,HV,YM_objective_trend,YM_objective_lower,YM_objective_upper,YM_objective_scale,YM_weight,YS_objective_trend,YS_objective_lower,YS_objective_upper,YS_objective_scale,YS_weight,UTS_objective_trend,UTS_objective_lower,UTS_objective_upper,UTS_objective_scale,UTS_weight,El_objective_trend,El_objective_lower,El_objective_upper,El_objective_scale,El_weight,HV_objective_trend,HV_objective_lower,HV_objective_upper,HV_objective_scale,HV_weight
1,0.502136,34,77.4,3.2,7.5,6.6,,1.8,,0.0,0.5,1.7,1.2,,0.1,,,,,,,1,850.0,20.0,1,1275.0,10.0,0,0,1,0,0.0,0.0,0,0,14.25,3.6,709.25,225.4,1447.8,1658.4,3.4,351.9,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.2
2,0.407534,6725,79.9,7.2,7.9,0.8,,2.7,,0.0,0.4,1.1,0.0,,0.0,,,,,,,0,0.0,0.0,1,725.0,0.05,1,0,0,0,0.0,0.0,0,0,0.58,7.2,783.77,205.6,1482.1,1826.6,6.0,271.3,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.2
3,0.396631,5804,80.3,0.0,5.8,5.2,,4.8,,0.4,1.8,1.5,0.2,,0.0,,,,,,,0,0.0,0.0,1,1100.0,12.0,0,0,1,0,0.0,0.0,0,0,14.21,0.13,734.47,203.3,1566.4,1884.8,7.0,378.2,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.2
4,0.367347,1043,75.7,9.3,1.0,9.8,,3.0,,0.0,0.4,0.6,0.1,,0.1,,,,,,,1,1150.0,0.0,1,975.0,2.0,0,0,1,0,0.0,0.0,0,0,7.78,9.33,765.87,197.1,1701.4,1907.7,27.3,414.7,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.2
5,0.355939,4268,77.0,9.7,10.0,3.2,,0.0,,0.0,0.1,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,2.15,9.7,745.65,194.7,1573.2,1861.6,18.5,159.6,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.2
6,0.354447,5235,81.0,5.1,10.0,3.7,,0.0,,0.0,0.1,0.0,0.0,,0.1,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,7.57,5.1,729.94,194.4,1421.3,1682.3,13.1,122.8,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.2
7,0.340605,5882,76.4,7.9,9.5,5.8,,0.0,,0.0,0.3,0.0,0.0,,0.1,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,7.85,7.9,716.31,191.5,1535.3,1820.7,18.8,153.3,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.2
8,0.330971,3603,80.4,9.8,9.1,0.2,,0.1,,0.3,0.0,0.1,0.0,,0.0,,,,,,,0,0.0,0.0,1,750.0,12.0,0,0,1,0,0.0,0.0,0,0,-3.28,9.85,789.76,189.5,1477.8,1809.8,12.4,351.0,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.2
9,0.327148,1740,79.9,3.8,9.0,5.6,,1.0,,0.5,0.0,0.0,0.2,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,11.19,3.95,713.41,188.7,1457.7,1716.8,13.7,151.4,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.2
10,0.31956,6193,82.4,6.0,2.6,6.7,,0.8,,0.6,0.6,0.0,0.2,,0.1,,,,,,,0,0.0,0.0,1,750.0,2.0,0,0,1,0,0.0,0.0,0,0,6.65,6.17,779.55,187.1,1449.5,1709.3,32.0,314.3,maximize,120.0,inf,70.0,0.333333,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.2
