rank,reward,train_step,Ti,Al,V,Cr,Mn,Fe,Cu,Zr,Nb,Mo,Sn,Hf,Ta,W,Si,C,N,O,Sc,Is_Not_Wrought,Is_Wrought,Def_Temp,Def_Strain,HT1,HT1_Temp,HT1_Time,HT1_Quench,HT1_Air,HT1_Furnace,HT2,HT2_Temp,HT2_Time,HT2_Quench,HT2_Air,Mo_eq,Al_eq,beta_transform_T,YM,YS,UTS,El,HV
1,1.625226,862,82.7,4.7,8.4,3.3,0.0,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1,775.0,15.0,1,0,0,1,0.0,7.0,1,0,7.37,4.78,743.21,191.9,1107.2,1238.6,8.3,488.2
2,1.580744,288,64.4,2.6,0.7,1.1,0.0,5.1,0.0,25.6,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1,800.0,15.0,0,1,0,0,0.0,0.0,0,0,14.82,6.9,607.33,119.9,1537.3,1603.8,4.3,440.1
3,1.478181,133,80.8,4.3,3.2,2.2,0.0,7.6,0.0,0.8,0.3,0.3,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1,500.0,0.25,0,0,1,0,0.0,0.0,0,0,23.81,4.57,702.92,113.7,1570.9,1629.4,8.1,662.4
4,1.40488,690,84.0,0.6,9.5,1.9,0.0,0.6,0.0,2.1,0.3,0.3,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1,925.0,2.5,0,0,1,1,525.0,12.0,0,1,11.06,0.98,722.01,144.7,971.9,999.6,10.8,505.4
5,1.345512,533,69.7,0.8,3.1,6.9,0.0,1.3,0.0,15.8,0.9,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1,625.0,20.0,1,600.0,2.0,0,1,0,1,550.0,5.0,1,0,17.45,3.43,625.07,102.3,1153.9,1254.0,12.1,541.1
6,1.258535,942,69.3,2.7,3.8,11.3,0.0,7.0,0.0,4.1,1.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,775.0,40.0,1,475.0,8.0,0,0,1,1,550.0,48.0,1,0,39.09,3.38,565.26,71.9,1217.5,1575.0,4.1,878.9
7,1.13942,833,83.8,4.5,9.7,0.2,0.0,0.6,0.0,0.3,0.4,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1,1050.0,2.0,0,1,0,1,875.0,15.0,0,1,4.27,4.68,763.99,101.5,988.2,1061.4,9.1,342.6
8,1.093217,416,68.7,0.0,0.8,14.6,0.0,0.5,0.0,5.7,1.6,0.1,2.7,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,27.06,1.85,659.26,14.1,1275.8,1407.3,7.4,521.9
9,1.044754,52,93.5,5.1,1.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1,1075.0,0.05,1,0,0,0,0.0,0.0,0,0,-4.07,5.1,876.16,187.1,945.5,1030.5,2.1,35.4
10,1.01769,971,79.5,0.5,6.1,1.1,0.0,1.2,0.0,6.5,4.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1,425.0,10.0,1,0,0,1,275.0,30.0,0,1,10.76,1.58,727.78,100.6,951.0,1206.1,3.4,263.0
