rank,reward,id,Activated,Ti,Al,V,Cr,Mn,Fe,Cu,Zr,Nb,Mo,Sn,Hf,Ta,W,Si,C,N,O,Sc,Is_Not_Wrought,Is_Wrought,HT1,HT1_Quench,HT1_Air,HT1_Furnace,HT2,HT2_Quench,HT2_Air,Def_Temp,Def_Strain,HT1_Temp,HT1_Time,HT2_Temp,HT2_Time,Mo_eq,Al_eq,beta_transform_T,YM,YS,UTS,El,HV
1,1.9011,16311,1,66.3,2.2,7.3,14.1,0.0,7.5,0.0,0.2,1.9,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,0,0,1100.0,50.0,400.0,0.167,0.0,0.0,47.8,2.23,511.09,47.9,1614.3,1733.7,34.1,668.3
2,1.851522,16312,1,61.9,4.5,0.0,9.1,0.0,8.0,0.0,15.9,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,1,0,600.0,60.0,900.0,10.0,325.0,8.0,33.79,7.15,543.68,119.1,1396.7,1660.6,10.9,888.1
3,1.797304,16313,1,75.7,3.1,9.7,6.6,0.0,3.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0,0,0,0.0,0.0,725.0,0.167,0.0,0.0,25.27,3.27,627.23,148.5,1323.8,1357.6,19.7,633.7
4,1.788606,16314,1,77.4,8.9,5.6,1.8,0.0,4.9,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,0,0,975.0,80.0,975.0,0.083,0.0,0.0,12.33,8.9,737.37,134.1,1484.1,1598.6,10.4,741.2
5,1.781728,16315,1,68.6,2.0,1.6,0.8,0.0,9.3,0.0,10.9,4.7,1.4,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,0,1,1125.0,10.0,875.0,0.083,200.0,6.0,30.1,3.95,627.59,124.1,1610.1,1680.4,16.1,589.5
6,1.761216,16316,1,76.4,4.6,8.7,0.1,0.0,8.3,0.0,0.1,0.3,0.5,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.0,875.0,15.0,750.0,24.0,26.22,4.68,655.37,102.2,1140.5,1272.1,17.3,900.5
7,1.759627,16317,1,86.9,0.6,3.1,3.3,0.0,1.6,0.0,3.5,0.3,0.3,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,1,0,725.0,30.0,725.0,20.0,925.0,36.0,11.85,1.22,755.53,75.0,845.0,829.4,36.4,847.0
8,1.744845,16318,1,82.3,1.2,6.4,0.0,0.0,3.8,0.0,3.3,0.9,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,1,0,1050.0,60.0,550.0,8.0,450.0,7.0,14.36,2.45,736.53,76.9,1037.6,1114.5,28.1,839.3
9,1.74301,16319,1,75.2,2.0,0.3,1.0,0.0,9.3,0.0,6.6,0.3,3.9,0.3,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,0,1,975.0,80.0,775.0,8.0,425.0,10.0,31.0,3.2,646.01,94.8,1294.4,1516.8,24.9,626.4
10,1.73298,16320,1,67.1,0.3,2.3,1.7,0.0,7.3,0.0,6.6,6.5,1.6,2.2,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,0,1,1075.0,99.0,625.0,0.017,200.0,1.67,29.52,2.13,671.0,73.9,1364.0,1629.7,30.1,532.8
